time,col,x,y,level,time
20100212,11046,N23,E01,C,20:46
20100212,11046,N23,E01,M,11:19
20100212,11046,N23,E01,N,99:99
20100212,11046,N23,E01,C,19:20
20100213,11045,N19,W77,N,99:99
20100213,11045,N19,W77,N,99:99
20100213,11045,N19,W77,C,22:33
20100213,11045,N19,W77,C,21:20
20100213,11045,N19,W77,M,17:52
20100213,11046,N24,W14,N,99:99
20100213,11046,N24,W14,C,19:58
20100213,11046,N24,W14,N,99:99
20100213,11046,N24,W14,C,20:46
20100213,11046,N24,W14,M,11:19
20100213,11047,S18,E03,N,99:99
20100214,11045,N24,W83,N,99:99
20100214,11046,N23,W25,N,99:99
20100214,11046,N23,W25,N,99:99
20100214,11046,N23,W25,C,19:58
20100214,11048,N20,E50,N,99:99
20100215,11046,N24,W37,N,99:99
20100215,11048,N20,E50,N,99:99
20100215,11048,N20,E50,C,01:05
20100215,11048,N20,E50,N,99:99
20100215,11048,N20,E50,C,11:49
20100216,11046,N24,W50,N,99:99
20100216,11048,N21,E36,N,99:99
20100216,11048,N21,E36,N,99:99
20100216,11048,N21,E36,C,01:05
20100217,11046,N22,W63,N,99:99
20100217,11048,N21,E20,N,99:99
20100217,11049,S19,W12,N,99:99
20100218,11046,N22,W72,N,99:99
20100218,11048,N20,E10,N,99:99
20100218,11049,S19,W12,N,99:99
20100219,11049,S19,W27,N,99:99
20100220,11049,S19,W39,N,99:99
20100221,11049,S19,W52,N,99:99
20100222,11049,S18,W67,N,99:99
20100223,11049,S18,W81,N,99:99
20100223,11050,S18,W26,N,99:99
20100224,11049,S18,W91,N,99:99
20100224,11050,S18,W26,N,99:99
20100224,11051,N17,E52,N,99:99
20100225,11049,S19,W91,N,99:99
20100225,11050,S19,W41,N,99:99
20100225,11051,N17,E52,N,99:99
20100226,11050,S19,W54,N,99:99
20100226,11051,N16,E40,N,99:99
20100227,11050,S19,W66,N,99:99
20100227,11051,N15,E27,N,99:99
20100228,11050,S18,W78,N,99:99
20100228,11051,N15,E13,N,99:99
20100301,11051,N15,W02,N,99:99
20100301,11052,S18,W40,N,99:99
20100301,11053,S22,W52,N,99:99
20100302,11051,N16,W15,N,99:99
20100302,11052,S18,W40,N,99:99
20100302,11053,S22,W52,N,99:99
20100303,11051,N16,W28,N,99:99
20100303,11052,S18,W55,N,99:99
20100303,11053,S23,W65,N,99:99
20100304,11051,N15,W42,N,99:99
20100304,11052,S17,W70,N,99:99
20100304,11052,S17,W70,C,16:03
20100304,11052,S17,W70,N,99:99
20100304,11053,S22,W76,N,99:99
20100305,11051,N16,W55,N,99:99
20100305,11052,S17,W84,N,99:99
20100305,11052,S17,W84,N,99:99
20100305,11052,S17,W84,C,16:03
20100305,11053,S22,W91,N,99:99
20100306,11051,N16,W67,N,99:99
20100306,11052,S16,W91,N,99:99
20100306,11053,S22,W91,N,99:99
20100307,11051,N16,W80,N,99:99
20100307,11052,S16,W91,N,99:99
20100308,11051,N16,W91,N,99:99
20100309,11051,N16,W91,N,99:99
20100311,11054,N15,E29,N,99:99
20100311,11055,S23,W29,N,99:99
20100312,11054,N15,E15,N,99:99
20100312,11055,S24,W41,N,99:99
20100313,11054,N15,E01,N,99:99
20100313,11054,N15,E01,N,99:99
20100313,11054,N15,E01,C,18:02
20100313,11055,S24,W41,N,99:99
20100314,11054,N14,W13,N,99:99
20100314,11054,N14,W13,N,99:99
20100314,11054,N14,W13,C,23:35
20100315,11054,N14,W28,N,99:99
20100316,11054,N15,W39,N,99:99
20100317,11054,N15,W51,N,99:99
20100317,11056,N17,E33,N,99:99
20100318,11054,N16,W69,N,99:99
20100318,11056,N18,E20,N,99:99
20100319,11054,N16,W85,N,99:99
20100319,11056,N18,E08,N,99:99
20100320,11054,N16,W91,N,99:99
20100320,11056,N18,W07,N,99:99
20100321,11054,N16,W91,N,99:99
20100321,11056,N18,W20,N,99:99
20100322,11056,N19,W35,N,99:99
20100323,11056,N18,W48,N,99:99
20100323,11057,N16,E59,N,99:99
20100324,11056,N18,W48,N,99:99
20100324,11057,N16,E43,N,99:99
20100325,11057,N15,E31,N,99:99
20100325,11058,N27,W20,N,99:99
20100326,11057,N15,E16,N,99:99
20100326,11058,N25,W35,N,99:99
20100327,11057,N15,E02,N,99:99
20100327,11057,N15,E02,C,18:23
20100327,11057,N15,E02,C,10:05
20100327,11057,N15,E02,C,07:54
20100327,11057,N15,E02,C,05:12
20100327,11057,N15,E02,N,99:99
20100327,11057,N15,E02,C,21:08
20100327,11058,N25,W35,N,99:99
20100327,11059,S21,E59,N,99:99
20100328,11057,N15,W10,N,99:99
20100328,11057,N15,W10,N,99:99
20100328,11057,N15,W10,C,18:23
20100328,11057,N15,W10,C,10:05
20100328,11057,N15,W10,C,07:54
20100328,11057,N15,W10,C,05:12
20100328,11059,S22,E47,N,99:99
20100329,11057,N15,W24,N,99:99
20100329,11059,S23,E34,N,99:99
20100330,11057,N15,W36,N,99:99
20100330,11059,S23,E22,N,99:99
20100331,11057,N16,W49,N,99:99
20100331,11059,S22,E09,N,99:99
20100401,11057,N15,W59,N,99:99
20100401,11059,S22,W04,N,99:99
20100402,11057,N16,W73,N,99:99
20100402,11059,S23,W17,N,99:99
20100403,11057,N16,W86,N,99:99
20100403,11059,S22,W29,N,99:99
20100404,11057,N16,W91,N,99:99
20100404,11059,S23,W42,N,99:99
20100404,11060,N24,E44,N,99:99
20100405,11057,N16,W91,N,99:99
20100405,11059,S25,W54,N,99:99
20100405,11060,N25,E31,N,99:99
20100405,11061,N14,W25,N,99:99
20100406,11059,S25,W65,N,99:99
20100406,11060,N26,E18,N,99:99
20100406,11061,N14,W38,N,99:99
20100407,11059,S25,W65,N,99:99
20100407,11060,N26,E18,N,99:99
20100407,11061,N14,W38,N,99:99
20100408,11060,N24,W00,N,99:99
20100408,11061,N13,W53,N,99:99
20100409,11060,N25,W14,N,99:99
