11351,2011:11:16:00:00:00,2011:11:17:00:00:00
11352,2011:11:21:00:00:00,2011:11:22:00:00:00
11353,2011:11:22:00:00:00,2011:11:23:00:00:00
11366,2011:12:07:00:00:00,2011:12:08:00:00:00
11367,2011:12:06:00:00:00,2011:12:07:00:00:00
11372,2011:12:08:00:00:00,2011:12:09:00:00:00
11377,2011:12:17:00:00:00,2011:12:18:00:00:00
11380,2011:12:21:00:00:00,2011:12:22:00:00:00
11383,2011:12:23:00:00:00,2011:12:24:00:00:00
11388,2012:01:01:00:00:00,2012:01:02:00:00:00
11390,2011:12:30:00:00:00,2011:12:31:00:00:00
11397,2012:01:14:00:00:00,2012:01:15:00:00:00
11399,2012:01:19:00:00:00,2012:01:20:00:00:00
11403,2012:01:16:00:00:00,2012:01:17:00:00:00
11405,2012:01:20:00:00:00,2012:01:21:00:00:00
11408,2012:01:26:00:00:00,2012:01:27:00:00:00
11409,2012:01:24:00:00:00,2012:01:25:00:00:00
11410,2012:01:31:00:00:00,2012:02:01:00:00:00
11413,2012:01:31:00:00:00,2012:02:01:00:00:00
11419,2012:02:17:00:00:00,2012:02:18:00:00:00
11420,2012:02:17:00:00:00,2012:02:18:00:00:00
11438,2012:03:25:00:00:00,2012:03:26:00:00:00
11443,2012:03:26:00:00:00,2012:03:27:00:00:00
11445,2012:03:28:00:00:00,2012:03:29:00:00:00
11452,2012:04:05:00:00:00,2012:04:06:00:00:00
11454,2012:04:14:00:00:00,2012:04:15:00:00:00
11457,2012:04:15:00:00:00,2012:04:16:00:00:00
11461,2012:04:21:00:00:00,2012:04:22:00:00:00
11470,2012:05:01:00:00:00,2012:05:02:00:00:00
11472,2012:05:01:00:00:00,2012:05:02:00:00:00
11474,2012:05:07:00:00:00,2012:05:08:00:00:00
11477,2012:05:13:00:00:00,2012:05:14:00:00:00
11478,2012:05:14:00:00:00,2012:05:15:00:00:00
11479,2012:05:15:00:00:00,2012:05:16:00:00:00
11481,2012:05:17:00:00:00,2012:05:18:00:00:00
11490,2012:05:28:00:00:00,2012:05:29:00:00:00
11492,2012:05:30:00:00:00,2012:05:31:00:00:00
11497,2012:06:03:00:00:00,2012:06:04:00:00:00
11502,2012:06:06:00:00:00,2012:06:07:00:00:00
11518,2012:07:08:00:00:00,2012:07:09:00:00:00
11523,2012:07:14:00:00:00,2012:07:15:00:00:00
11526,2012:07:24:00:00:00,2012:07:25:00:00:00
11529,2012:07:28:00:00:00,2012:07:29:00:00:00
11533,2012:07:28:00:00:00,2012:07:29:00:00:00
11534,2012:07:29:00:00:00,2012:07:30:00:00:00
11537,2012:08:05:00:00:00,2012:08:06:00:00:00
11546,2012:08:21:00:00:00,2012:08:22:00:00:00
11547,2012:08:18:00:00:00,2012:08:19:00:00:00
11548,2012:08:23:00:00:00,2012:08:24:00:00:00
11552,2012:08:25:00:00:00,2012:08:26:00:00:00
11553,2012:08:27:00:00:00,2012:08:28:00:00:00
11555,2012:08:30:00:00:00,2012:08:31:00:00:00
11558,2012:08:30:00:00:00,2012:08:31:00:00:00
11559,2012:09:01:00:00:00,2012:09:02:00:00:00
11560,2012:08:31:00:00:00,2012:09:01:00:00:00
11561,2012:08:31:00:00:00,2012:09:01:00:00:00
11562,2012:09:02:00:00:00,2012:09:03:00:00:00
11563,2012:09:04:00:00:00,2012:09:05:00:00:00
11564,2012:09:04:00:00:00,2012:09:05:00:00:00
11565,2012:09:04:00:00:00,2012:09:05:00:00:00
11566,2012:09:08:00:00:00,2012:09:09:00:00:00
11567,2012:09:10:00:00:00,2012:09:11:00:00:00
11569,2012:09:14:00:00:00,2012:09:15:00:00:00
11571,2012:09:16:00:00:00,2012:09:17:00:00:00
11573,2012:09:19:00:00:00,2012:09:20:00:00:00
