08113,1997:11:30:06:58:00,1997:11:30:07:13:00,20,23,C
08113,1997:11:30:07:13:00,1997:12:01:00:41:00,22,8,C
08113,1997:12:01:00:41:00,1997:12:01:02:47:00,22,8,M
08113,1997:12:01:02:47:00,1997:12:01:12:41:00,22,8,C
08113,1997:12:01:12:41:00,1997:12:01:13:35:00,22,8,C
08113,1997:12:01:13:35:00,1997:12:01:18:47:00,22,8,C
08113,1997:12:01:18:47:00,1997:12:01:19:45:00,22,8,C
08113,1997:12:02:00:56:00,1997:12:03:01:23:00,20,17,C
08113,1997:12:03:01:23:00,1997:12:03:03:46:00,20,17,C
08113,1997:12:03:03:46:00,1997:12:03:04:32:00,20,17,C
08113,1997:12:03:04:32:00,1997:12:03:07:20:00,20,17,C
08113,1997:12:03:07:20:00,1997:12:03:14:44:00,20,17,C
08113,1997:12:03:14:44:00,1997:12:04:06:06:00,21,29,C
08124,1997:12:25:05:51:00,1997:12:26:06:04:00,22,1,C
08124,1997:12:26:16:28:00,1997:12:27:16:46:00,22,12,C
08126,1997:12:30:06:55:00,1997:12:31:07:47:00,21,23,C
08131,1998:01:11:02:02:00,1998:01:12:02:30:00,24,3,C
08131,1998:01:12:02:30:00,1998:01:12:11:49:00,24,3,C
08131,1998:01:12:11:49:00,1998:01:12:15:24:00,24,3,C
08131,1998:01:12:15:24:00,1998:01:12:21:24:00,24,3,C
08131,1998:01:13:13:08:00,1998:01:14:13:15:00,22,23,C
08131,1998:01:14:13:15:00,1998:01:14:16:15:00,22,23,C
08131,1998:01:14:16:15:00,1998:01:14:20:48:00,22,23,C
08131,1998:01:14:20:48:00,1998:01:15:10:06:00,22,35,C
08131,1998:01:15:10:06:00,1998:01:15:13:24:00,22,35,C
08131,1998:01:15:13:24:00,1998:01:15:14:47:00,22,35,M
08131,1998:01:15:14:47:00,1998:01:15:20:09:00,22,35,C
08142,1998:01:24:19:14:00,1998:01:25:19:51:00,21,33,C
08145,1998:01:25:14:36:00,1998:01:26:14:56:00,29,35,C
08143,1998:01:28:01:40:00,1998:01:29:01:58:00,36,17,C
08156,1998:02:14:04:20:00,1998:02:15:04:29:00,24,3,C
08156,1998:02:15:04:29:00,1998:02:15:07:22:00,24,3,C
08156,1998:02:15:07:22:00,1998:02:15:11:59:00,24,3,C
08156,1998:02:16:09:48:00,1998:02:17:09:56:00,25,22,C
08156,1998:02:17:09:56:00,1998:02:18:09:31:00,25,34,C
08156,1998:02:18:09:31:00,1998:02:18:11:53:00,25,34,C
08164,1998:02:23:13:31:00,1998:02:24:13:45:00,17,0,C
08171,1998:03:01:04:19:00,1998:03:02:04:32:00,23,36,C
08171,1998:03:02:04:32:00,1998:03:02:12:19:00,23,36,C
08179,1998:03:13:10:56:00,1998:03:14:11:27:00,22,9,C
08179,1998:03:14:11:27:00,1998:03:14:15:07:00,22,9,C
08179,1998:03:14:15:07:00,1998:03:15:12:04:00,22,5,C
08179,1998:03:15:12:04:00,1998:03:15:13:22:00,22,5,C
08179,1998:03:15:13:22:00,1998:03:15:14:52:00,22,5,C
08179,1998:03:15:14:52:00,1998:03:15:15:19:00,22,5,C
08179,1998:03:15:15:19:00,1998:03:15:16:26:00,22,5,M
08179,1998:03:15:16:26:00,1998:03:15:17:42:00,22,5,C
08179,1998:03:15:17:42:00,1998:03:15:19:27:00,22,5,M
08179,1998:03:15:19:27:00,1998:03:15:23:06:00,22,5,C
08179,1998:03:15:23:06:00,1998:03:16:02:26:00,22,17,C
08179,1998:03:16:02:26:00,1998:03:16:08:30:00,22,17,C
08179,1998:03:16:08:30:00,1998:03:16:09:31:00,22,17,C
08179,1998:03:16:09:31:00,1998:03:16:12:11:00,22,17,C
08179,1998:03:16:12:11:00,1998:03:16:16:50:00,22,17,C
08179,1998:03:16:16:50:00,1998:03:16:18:01:00,22,17,C
08179,1998:03:16:18:01:00,1998:03:16:18:46:00,22,17,C
08179,1998:03:16:18:46:00,1998:03:16:20:36:00,22,17,C
08179,1998:03:16:20:36:00,1998:03:16:21:38:00,22,17,C
08179,1998:03:16:21:38:00,1998:03:17:03:31:00,22,30,C
08179,1998:03:17:03:31:00,1998:03:17:08:34:00,22,30,C
08179,1998:03:17:08:34:00,1998:03:17:13:41:00,22,30,C
08179,1998:03:17:13:41:00,1998:03:18:00:59:00,22,43,C
08179,1998:03:18:00:59:00,1998:03:18:03:04:00,22,43,C
08183,1998:03:18:01:17:00,1998:03:19:01:34:00,22,45,M
08183,1998:03:19:01:34:00,1998:03:19:05:30:00,22,45,C
08183,1998:03:19:05:30:00,1998:03:19:09:05:00,22,45,C
08183,1998:03:19:09:05:00,1998:03:19:10:13:00,22,45,C
08183,1998:03:19:10:13:00,1998:03:19:11:59:00,22,45,C
08183,1998:03:21:11:02:00,1998:03:22:11:11:00,23,5,C
08185,1998:03:24:11:45:00,1998:03:25:11:54:00,24,24,C
08185,1998:03:25:12:46:00,1998:03:26:13:40:00,25,11,M
08185,1998:03:26:15:57:00,1998:03:27:16:08:00,25,1,C
08185,1998:03:27:16:08:00,1998:03:27:23:17:00,25,1,M
08190,1998:03:30:02:33:00,1998:03:31:03:29:00,20,43,C
08190,1998:03:31:03:29:00,1998:03:31:06:31:00,20,43,C
08190,1998:03:31:06:31:00,1998:03:31:13:41:00,20,43,C
08190,1998:03:31:13:41:00,1998:04:01:09:26:00,22,23,C
08190,1998:04:01:09:26:00,1998:04:01:16:04:00,22,23,C
08190,1998:04:01:16:04:00,1998:04:01:20:10:00,22,23,C
08190,1998:04:01:20:10:00,1998:04:01:23:11:00,22,23,C
08190,1998:04:01:23:11:00,1998:04:02:08:02:00,21,12,C
08190,1998:04:02:08:02:00,1998:04:02:14:39:00,21,12,C
08190,1998:04:02:14:39:00,1998:04:02:17:37:00,21,12,C
08190,1998:04:02:17:37:00,1998:04:02:23:11:00,21,12,C
08190,1998:04:02:23:35:00,1998:04:03:00:02:00,19,3,C
08191,1998:04:01:11:02:00,1998:04:02:11:11:00,21,21,C
08193,1998:04:04:11:48:00,1998:04:05:11:55:00,22,28,C
08195,1998:04:07:19:33:00,1998:04:08:19:41:00,27,39,C
08195,1998:04:08:19:41:00,1998:04:08:19:57:00,27,39,C
08194,1998:04:07:21:32:00,1998:04:08:21:41:00,18,35,C
08194,1998:04:10:15:08:00,1998:04:11:15:24:00,17,4,C
08199,1998:04:09:10:44:00,1998:04:10:11:26:00,27,42,C
08202,1998:04:12:03:32:00,1998:04:13:04:03:00,23,4,C
08202,1998:04:15:02:19:00,1998:04:16:02:32:00,24,34,C
08203,1998:04:14:07:37:00,1998:04:15:07:54:00,30,25,C
08203,1998:04:15:07:54:00,1998:04:15:12:42:00,30,25,C
08203,1998:04:15:12:42:00,1998:04:15:15:20:00,30,25,C
08210,1998:04:26:08:55:00,1998:04:27:09:38:00,17,42,X
08210,1998:04:28:01:24:00,1998:04:29:01:56:00,17,16,C
08210,1998:04:29:01:56:00,1998:04:29:08:27:00,17,16,C
08210,1998:04:29:08:27:00,1998:04:29:16:59:00,17,16,M
08210,1998:04:29:21:15:00,1998:04:30:21:36:00,17,4,C
08210,1998:04:30:21:36:00,1998:05:01:12:14:00,16,12,C
08210,1998:05:01:12:14:00,1998:05:01:15:00:00,16,12,C
08210,1998:05:01:15:00:00,1998:05:01:20:35:00,16,12,C
08210,1998:05:01:20:35:00,1998:05:01:21:33:00,16,12,C
08210,1998:05:01:21:33:00,1998:05:01:21:59:00,16,12,C
08210,1998:05:01:21:59:00,1998:05:01:23:08:00,16,12,M
08210,1998:05:01:23:08:00,1998:05:02:05:21:00,17,24,C
08210,1998:05:02:05:21:00,1998:05:02:13:51:00,17,24,X
08210,1998:05:02:13:51:00,1998:05:02:21:21:00,17,24,C
08210,1998:05:02:21:21:00,1998:05:03:10:36:00,17,36,C
08210,1998:05:03:10:36:00,1998:05:03:18:50:00,17,36,C
08214,1998:04:30:12:54:00,1998:05:01:13:04:00,26,34,M
08214,1998:05:01:13:04:00,1998:05:01:18:17:00,26,34,C
08214,1998:05:01:18:17:00,1998:05:02:02:12:00,26,20,C
08214,1998:05:02:02:12:00,1998:05:02:17:52:00,26,20,C
08214,1998:05:02:17:52:00,1998:05:03:16:13:00,27,6,C
08214,1998:05:03:16:13:00,1998:05:03:21:49:00,27,6,M
08214,1998:05:03:21:49:00,1998:05:04:17:25:00,27,7,C
08214,1998:05:04:17:25:00,1998:05:04:23:40:00,27,7,C
08214,1998:05:04:23:40:00,1998:05:05:16:18:00,27,21,C
08214,1998:05:05:16:18:00,1998:05:05:21:04:00,27,21,C
08214,1998:05:05:21:04:00,1998:05:05:22:32:00,27,21,C
08214,1998:05:05:22:32:00,1998:05:06:17:17:00,27,36,C
08218,1998:05:11:04:49:00,1998:05:12:06:51:00,20,5,C
08218,1998:05:12:14:50:00,1998:05:13:14:55:00,20,18,C
08218,1998:05:13:14:55:00,1998:05:13:22:30:00,20,18,C
08218,1998:05:13:22:30:00,1998:05:14:10:36:00,20,31,C
08218,1998:05:14:10:36:00,1998:05:15:02:24:00,21,44,C
08220,1998:05:13:13:44:00,1998:05:14:13:57:00,28,33,C
08222,1998:05:15:04:27:00,1998:05:16:04:52:00,22,9,C
08227,1998:05:27:11:13:00,1998:05:28:11:44:00,26,35,C
08232,1998:06:04:04:39:00,1998:06:05:04:51:00,19,36,C
08232,1998:06:05:04:51:00,1998:06:05:09:57:00,19,36,C
08232,1998:06:05:09:57:00,1998:06:05:14:23:00,19,36,C
08232,1998:06:06:14:43:00,1998:06:07:15:16:00,19,6,C
08232,1998:06:07:15:56:00,1998:06:08:16:14:00,20,4,C
08242,1998:06:12:04:15:00,1998:06:13:04:28:00,22,42,M
08242,1998:06:13:04:28:00,1998:06:13:17:32:00,22,42,C
08242,1998:06:13:17:32:00,1998:06:13:18:02:00,22,42,C
08237,1998:06:12:14:58:00,1998:06:13:15:54:00,20,8,C
08243,1998:06:19:14:12:00,1998:06:20:14:44:00,18,30,C
08243,1998:06:20:14:44:00,1998:06:20:21:04:00,18,30,C
08243,1998:06:20:21:04:00,1998:06:20:22:14:00,18,30,C
08243,1998:06:20:22:14:00,1998:06:21:05:51:00,18,39,C
08243,1998:06:21:05:51:00,1998:06:21:18:13:00,18,39,C
08243,1998:06:21:18:13:00,1998:06:21:21:13:00,18,39,C
08253,1998:06:24:18:36:00,1998:06:25:18:49:00,18,40,C
08253,1998:06:25:18:49:00,1998:06:25:21:19:00,18,40,C
08253,1998:06:26:08:44:00,1998:06:27:08:57:00,17,12,C
08253,1998:06:27:08:57:00,1998:06:28:04:10:00,17,2,C
08253,1998:06:28:04:10:00,1998:06:28:19:35:00,17,2,C
08253,1998:06:28:19:35:00,1998:06:28:20:29:00,17,2,C
08253,1998:06:28:20:29:00,1998:06:28:21:14:00,17,2,C
08253,1998:06:28:21:14:00,1998:06:29:06:40:00,18,15,C
08253,1998:06:29:06:40:00,1998:06:30:01:58:00,18,29,C
08253,1998:06:30:01:58:00,1998:06:30:23:07:00,18,29,C
08253,1998:06:30:23:07:00,1998:07:01:18:47:00,17,43,C
08259,1998:06:30:00:01:00,1998:07:01:00:28:00,27,24,C
08256,1998:06:30:18:01:00,1998:07:01:18:26:00,24,9,C
08256,1998:07:02:11:19:00,1998:07:03:11:33:00,24,32,C
08256,1998:07:03:11:33:00,1998:07:03:17:58:00,24,32,C
08256,1998:07:03:17:58:00,1998:07:03:20:21:00,24,32,C
08264,1998:07:04:12:52:00,1998:07:05:13:02:00,16,13,C
08269,1998:07:13:10:50:00,1998:07:14:11:19:00,17,15,C
08270,1998:07:14:11:03:00,1998:07:15:11:22:00,21,2,C
08270,1998:07:15:11:22:00,1998:07:15:15:28:00,21,2,C
08270,1998:07:15:15:28:00,1998:07:15:16:24:00,21,2,C
08270,1998:07:15:16:24:00,1998:07:16:00:27:00,21,14,C
08270,1998:07:16:00:27:00,1998:07:16:08:13:00,21,14,C
08270,1998:07:16:08:13:00,1998:07:16:13:17:00,21,14,C
08270,1998:07:16:13:17:00,1998:07:16:16:36:00,21,14,C
08270,1998:07:16:16:36:00,1998:07:16:20:45:00,21,14,C
08272,1998:07:15:10:18:00,1998:07:16:10:41:00,28,42,C
08280,1998:07:23:03:11:00,1998:07:24:03:58:00,21,41,C
08281,1998:07:22:16:24:00,1998:07:23:16:34:00,17,45,C
08293,1998:08:05:11:17:00,1998:08:06:11:43:00,22,26,C
08293,1998:08:06:11:43:00,1998:08:06:14:33:00,22,26,C
08293,1998:08:06:14:33:00,1998:08:06:20:01:00,22,26,C
08293,1998:08:06:20:01:00,1998:08:06:22:57:00,22,26,C
08293,1998:08:06:22:57:00,1998:08:07:16:26:00,22,9,C
08293,1998:08:07:16:26:00,1998:08:07:23:53:00,22,9,C
08293,1998:08:09:10:59:00,1998:08:10:11:07:00,23,31,C
08293,1998:08:10:11:07:00,1998:08:10:15:02:00,23,31,C
08296,1998:08:06:14:17:00,1998:08:07:14:51:00,17,44,C
08299,1998:08:12:10:12:00,1998:08:13:10:21:00,16,0,C
08299,1998:08:13:10:21:00,1998:08:13:13:45:00,16,0,C
08299,1998:08:13:13:45:00,1998:08:13:14:18:00,16,0,C
08299,1998:08:13:14:18:00,1998:08:14:06:08:00,16,15,C
08299,1998:08:14:16:15:00,1998:08:15:16:50:00,16,27,C
08297,1998:08:09:16:28:00,1998:08:10:16:36:00,30,22,C
08298,1998:08:09:21:37:00,1998:08:10:22:06:00,18,25,C
08307,1998:08:21:08:44:00,1998:08:22:08:50:00,31,34,C
08307,1998:08:22:08:50:00,1998:08:22:13:10:00,31,34,C
08307,1998:08:22:13:10:00,1998:08:22:15:09:00,31,34,C
08307,1998:08:22:15:09:00,1998:08:22:17:30:00,31,34,C
08307,1998:08:22:17:30:00,1998:08:22:19:40:00,31,34,C
08307,1998:08:22:19:40:00,1998:08:23:09:47:00,31,21,M
08307,1998:08:23:15:21:00,1998:08:24:15:27:00,31,8,C
08307,1998:08:24:15:27:00,1998:08:24:22:35:00,31,8,X
08319,1998:08:26:10:51:00,1998:08:27:12:08:00,21,3,C
08319,1998:08:28:04:54:00,1998:08:29:05:07:00,18,29,C
08319,1998:08:29:05:07:00,1998:08:30:00:49:00,19,42,C
08319,1998:08:30:00:49:00,1998:08:30:03:52:00,19,42,C
08319,1998:08:30:03:52:00,1998:08:30:09:43:00,19,42,M
08319,1998:08:30:09:43:00,1998:08:30:14:54:00,19,42,C
08319,1998:08:30:14:54:00,1998:08:30:18:09:00,19,42,M
08319,1998:08:30:18:09:00,1998:08:30:21:59:00,19,42,C
08323,1998:08:30:00:53:00,1998:08:31:01:07:00,21,41,C
08323,1998:08:31:01:07:00,1998:08:31:02:22:00,21,41,C
08323,1998:08:31:02:22:00,1998:09:01:01:50:00,22,29,C
08323,1998:09:01:01:50:00,1998:09:01:05:06:00,22,29,M
08323,1998:09:01:05:06:00,1998:09:01:07:22:00,22,29,C
08323,1998:09:01:07:22:00,1998:09:01:09:41:00,22,29,C
08323,1998:09:01:09:41:00,1998:09:01:11:06:00,22,29,C
