time,col,x,y,level,time
19960705,7978,11,14,N,99:99
19960706,7978,09,01,N,99:99
19960708,7978,10,25,N,99:99
19960709,7978,10,38,N,99:99
19960710,7978,10,52,N,99:99
19960711,7978,11,65,N,99:99
19960712,7978,11,79,N,99:99
19960713,7978,12,90,N,99:99
19960714,7978,10,91,N,99:99
19960720,7979,34,28,N,99:99
19960727,7980,10,16,N,99:99
19960728,7981,11,58,N,99:99
19960729,7981,10,46,N,99:99
19960730,7981,10,33,N,99:99
19960731,7981,10,19,N,99:99
19960801,7981,09,08,N,99:99
19960802,7981,09,05,N,99:99
19960803,7981,09,19,N,99:99
19960804,7981,09,33,N,99:99
19960805,7981,09,47,N,99:99
19960806,7981,09,60,N,99:99
19960807,7981,10,74,N,99:99
19960808,7981,11,87,N,99:99
19960808,7982,11,08,N,99:99
19960809,7981,11,91,N,99:99
19960809,7982,09,05,N,99:99
19960810,7982,10,20,N,99:99
19960811,7982,09,34,N,99:99
19960811,7983,26,00,N,99:99
19960812,7982,09,48,N,99:99
19960813,7982,10,61,N,99:99
19960814,7982,09,74,N,99:99
19960815,7982,09,89,N,99:99
19960815,7984,30,10,N,99:99
19960816,7982,08,91,N,99:99
19960816,7984,29,03,N,99:99
19960820,7985,10,28,N,99:99
19960821,7985,10,43,N,99:99
19960822,7985,10,57,N,99:99
19960823,7985,10,69,N,99:99
19960824,7985,12,83,N,99:99
19960824,7986,13,65,N,99:99
19960825,7985,10,91,N,99:99
19960825,7986,12,50,N,99:99
19960825,7986,12,50,C,12:10
19960825,7986,12,50,N,99:99
19960826,7986,12,40,N,99:99
19960826,7986,12,40,N,99:99
19960826,7986,12,40,C,12:10
19960827,7986,12,29,N,99:99
19960828,7986,12,11,N,99:99
19960829,7986,12,02,N,99:99
19960830,7986,12,14,N,99:99
19960831,7986,12,25,N,99:99
19960901,7986,13,41,N,99:99
19960901,7987,18,32,N,99:99
19960902,7986,12,57,N,99:99
19960903,7986,12,70,N,99:99
19960904,7986,11,84,N,99:99
19960905,7986,10,91,N,99:99
19960908,7988,26,12,N,99:99
19960909,7988,25,26,N,99:99
19960913,7989,29,01,N,99:99
19961021,7990,15,12,N,99:99
19961026,7991,31,04,N,99:99
19961027,7991,30,18,N,99:99
19961027,7992,13,42,N,99:99
19961028,7992,15,55,N,99:99
