1997:02:04:11:11:00,1997:02:04:11:19:00,08016,21,04,C
1997:02:19:22:17:00,1997:02:19:22:26:00,08018,10,74,C
1997:04:01:07:52:00,1997:04:01:08:04:00,08026,24,07,C
1997:04:02:00:28:00,1997:04:02:00:43:00,08026,25,06,C
1997:04:02:05:24:00,1997:04:02:05:37:00,08026,25,06,C
1997:04:07:13:50:00,1997:04:07:14:19:00,08027,28,11,C
1997:04:15:14:00:00,1997:04:15:14:26:00,08032,23,07,C
1997:05:12:04:42:00,1997:05:12:05:26:00,08038,21,19,C
1997:05:21:06:04:00,1997:05:21:06:38:00,08040,05,14,C
1997:05:21:20:03:00,1997:05:21:20:27:00,08040,05,14,M
1997:05:27:09:31:00,1997:05:27:10:07:00,08045,03,84,C
1997:06:29:23:41:00,1997:06:29:00:05:00,08056,17,75,C
1997:08:09:12:04:00,1997:08:09:12:22:00,08069,23,87,C
1997:08:09:16:30:00,1997:08:09:16:38:00,08069,23,87,C
1997:08:14:01:12:00,1997:08:14:01:41:00,08071,26,20,C
1997:08:26:00:51:00,1997:08:26:00:56:00,08076,29,50,C
1997:08:26:05:26:00,1997:08:26:05:35:00,08076,29,50,C
1997:08:29:17:23:00,1997:08:29:17:38:00,08076,29,11,C
1997:08:30:11:07:00,1997:08:30:11:32:00,08076,28,02,C
1997:08:31:11:26:00,1997:08:31:11:33:00,08076,28,14,C
1997:08:31:19:04:00,1997:08:31:19:20:00,08076,28,14,C
1997:08:31:22:18:00,1997:08:31:22:26:00,08076,28,14,C
1997:09:02:12:25:00,1997:09:02:12:34:00,08076,28,41,M
1997:09:02:16:35:00,1997:09:02:16:43:00,08076,28,41,C
1997:09:02:21:06:00,1997:09:02:21:19:00,08076,28,41,C
1997:09:02:23:54:00,1997:09:02:00:03:00,08076,28,41,C
1997:09:03:02:05:00,1997:09:03:02:17:00,08076,28,55,C
1997:09:03:06:39:00,1997:09:03:06:45:00,08076,28,55,C
1997:09:03:15:09:00,1997:09:03:15:34:00,08076,28,55,C
1997:09:05:13:20:00,1997:09:05:13:38:00,08076,27,78,C
1997:09:07:06:06:00,1997:09:07:06:29:00,08085,24,62,C
1997:09:08:10:24:00,1997:09:08:10:39:00,08085,25,51,C
1997:09:08:13:42:00,1997:09:08:14:07:00,08085,25,51,C
1997:09:08:17:35:00,1997:09:08:17:46:00,08085,25,51,C
1997:09:08:19:23:00,1997:09:08:19:48:00,08083,28,09,M
1997:09:09:09:45:00,1997:09:09:10:03:00,08085,25,40,C
1997:09:09:18:35:00,1997:09:09:18:52:00,08085,25,40,C
1997:09:12:02:07:00,1997:09:12:02:13:00,08084,22,26,C
1997:09:12:18:55:00,1997:09:12:19:04:00,08084,22,26,C
1997:09:12:20:04:00,1997:09:12:20:11:00,08084,22,26,C
1997:09:14:02:50:00,1997:09:14:02:58:00,08083,28,86,C
1997:09:14:10:43:00,1997:09:14:11:28:00,08085,26,25,C
1997:09:14:16:58:00,1997:09:14:17:06:00,08086,27,37,C
1997:09:14:20:11:00,1997:09:14:20:32:00,08084,22,52,C
1997:09:15:02:02:00,1997:09:15:02:27:00,08084,22,66,C
1997:09:15:06:38:00,1997:09:15:07:06:00,08084,22,66,C
1997:09:15:13:49:00,1997:09:15:14:07:00,08086,28,25,C
1997:09:15:18:35:00,1997:09:15:18:44:00,08086,28,25,C
1997:09:15:21:07:00,1997:09:15:21:36:00,08086,28,25,C
1997:09:16:22:06:00,1997:09:16:22:38:00,08084,21,77,C
1997:09:17:11:35:00,1997:09:17:11:52:00,08084,22,90,M
1997:09:17:17:25:00,1997:09:17:17:37:00,08085,25,68,C
1997:09:17:17:45:00,1997:09:17:18:27:00,08084,22,90,M
1997:09:19:01:39:00,1997:09:19:01:53:00,08085,25,91,C
1997:09:22:00:46:00,1997:09:22:00:51:00,08087,22,59,C
1997:09:22:06:04:00,1997:09:22:06:20:00,08088,28,40,C
1997:09:22:09:05:00,1997:09:22:09:17:00,08088,28,40,C
1997:09:22:11:19:00,1997:09:22:11:30:00,08087,22,59,C
1997:09:22:14:10:00,1997:09:22:14:26:00,08088,28,40,C
1997:09:22:18:06:00,1997:09:22:18:24:00,08088,28,40,C
1997:09:24:02:43:00,1997:09:24:02:52:00,08088,28,11,M
1997:09:24:05:23:00,1997:09:24:05:38:00,08088,28,11,C
1997:09:24:06:54:00,1997:09:24:07:07:00,08088,28,11,C
1997:09:24:09:06:00,1997:09:24:09:16:00,08088,28,11,C
1997:09:24:10:57:00,1997:09:24:11:10:00,08088,28,11,M
1997:09:24:18:24:00,1997:09:24:18:45:00,08088,28,11,C
1997:09:25:03:17:00,1997:09:25:03:39:00,08088,28,03,C
1997:09:25:11:40:00,1997:09:25:11:55:00,08088,28,03,C
1997:09:26:03:12:00,1997:09:26:03:20:00,08088,28,16,C
1997:09:29:16:20:00,1997:09:29:16:27:00,08088,29,54,C
1997:10:02:02:38:00,1997:10:02:02:52:00,08090,27,42,C
1997:10:13:23:11:00,1997:10:13:23:23:00,08094,20,63,C
