20080101,10980,09,76,N,99:99
20080101,10980,09,76,C,15:30
20080101,10980,09,76,N,99:99
20080102,10980,07,55,N,99:99
20080102,10980,07,55,C,07:55
20080102,10980,07,55,N,99:99
20080103,10980,08,44,N,99:99
20080104,10980,06,28,N,99:99
20080105,10980,06,15,N,99:99
20080105,10981,30,08,N,99:99
20080106,10981,29,00,N,99:99
20080106,10980,06,02,N,99:99
20080107,10981,27,18,N,99:99
20080107,10980,06,11,N,99:99
20080107,10980,06,11,C,14:49
20080107,10980,06,11,N,99:99
20080108,10980,06,17,N,99:99
20080108,10981,27,31,N,99:99
20080109,10980,08,37,N,99:99
20080109,10981,27,44,N,99:99
20080110,10980,08,50,N,99:99
20080110,10981,27,57,N,99:99
20080111,10980,08,63,N,99:99
20080111,10981,27,70,N,99:99
20080112,10980,08,76,N,99:99
20080112,10981,27,83,N,99:99
20080113,10980,08,89,N,99:99
20080113,10981,27,91,N,99:99
20080114,10980,08,91,N,99:99
20080130,10982,09,39,N,99:99
20080131,10982,09,26,N,99:99
20080201,10982,08,11,N,99:99
20080202,10982,10,00,N,99:99
20080203,10982,08,16,N,99:99
20080204,10982,08,30,N,99:99
20080205,10982,09,41,N,99:99
20080206,10982,09,55,N,99:99
20080207,10982,09,68,N,99:99
20080208,10982,09,81,N,99:99
20080209,10982,09,91,N,99:99
20080210,10982,09,91,N,99:99
20080226,10983,01,53,N,99:99
20080227,10983,06,68,N,99:99
20080228,10983,05,81,N,99:99
20080229,10983,06,91,N,99:99
20080301,10983,06,91,N,99:99
20080306,10984,05,83,N,99:99
20080307,10984,08,91,N,99:99
20080308,10984,08,91,N,99:99
20080311,10985,10,91,N,99:99
20080312,10985,10,91,N,99:99
20080316,10986,04,55,N,99:99
20080317,10986,04,70,N,99:99
20080318,10986,04,85,N,99:99
20080319,10986,04,91,N,99:99
20080324,10987,08,36,N,99:99
20080325,10987,08,22,N,99:99
20080325,10988,09,45,N,99:99
20080326,10987,08,09,N,99:99
20080326,10988,09,33,N,99:99
20080326,10989,10,63,N,99:99
20080327,10987,08,05,N,99:99
20080327,10988,09,20,N,99:99
20080327,10989,12,49,N,99:99
20080328,10987,07,19,N,99:99
