20000101,08809,24,33,N,99:99
20000101,08810,38,18,N,99:99
20000101,08812,27,60,N,99:99
20000101,08813,17,24,N,99:99
20000101,08814,10,33,N,99:99
20000101,08815,10,47,N,99:99
20000102,08810,38,31,N,99:99
20000102,08813,17,07,N,99:99
20000102,08813,17,07,C,22:20
20000102,08813,17,07,N,99:99
20000102,08814,10,20,N,99:99
20000102,08815,10,34,N,99:99
20000103,08810,37,42,N,99:99
20000103,08813,16,06,N,99:99
20000103,08813,16,06,N,99:99
20000103,08813,16,06,C,22:20
20000103,08814,10,07,N,99:99
20000103,08815,08,21,N,99:99
20000103,08815,08,21,C,04:13
20000103,08815,08,21,N,99:99
20000104,08810,38,55,N,99:99
20000104,08810,38,55,C,14:28
20000104,08810,38,55,C,11:09
20000104,08810,38,55,N,99:99
20000104,08813,16,21,N,99:99
20000104,08814,11,06,N,99:99
20000104,08815,10,08,N,99:99
20000104,08815,10,08,N,99:99
20000104,08815,10,08,C,04:13
20000105,08810,38,64,N,99:99
20000105,08810,38,64,N,99:99
20000105,08810,38,64,C,14:28
20000105,08810,38,64,C,11:09
20000105,08813,16,34,N,99:99
20000105,08814,12,20,N,99:99
20000105,08815,10,03,N,99:99
20000105,08816,23,28,N,99:99
20000105,08817,24,03,N,99:99
20000106,08810,38,78,N,99:99
20000106,08813,15,46,N,99:99
20000106,08814,11,33,N,99:99
20000106,08815,11,16,N,99:99
20000106,08816,23,42,N,99:99
20000106,08816,23,42,C,06:45
20000106,08816,23,42,N,99:99
20000106,08817,25,16,N,99:99
20000106,08818,10,47,N,99:99
20000107,08810,38,91,N,99:99
20000107,08813,16,61,N,99:99
20000107,08814,12,47,N,99:99
20000107,08815,10,31,N,99:99
20000107,08816,20,56,N,99:99
20000107,08816,20,56,N,99:99
20000107,08816,20,56,C,06:45
20000107,08817,24,30,N,99:99
20000107,08818,11,60,N,99:99
20000107,08819,10,39,N,99:99
20000107,08819,10,39,C,18:36
20000107,08819,10,39,C,17:18
20000107,08819,10,39,C,15:12
20000107,08819,10,39,C,13:51
20000107,08819,10,39,C,09:25
20000107,08819,10,39,N,99:99
20000107,08820,16,57,N,99:99
20000107,08821,25,67,N,99:99
20000108,08810,38,91,N,99:99
20000108,08813,16,76,N,99:99
20000108,08814,11,61,N,99:99
20000108,08815,12,47,N,99:99
20000108,08816,20,70,N,99:99
20000108,08817,24,45,N,99:99
20000108,08819,09,54,N,99:99
20000108,08819,09,54,C,04:05
20000108,08819,09,54,N,99:99
20000108,08819,09,54,C,18:36
20000108,08819,09,54,C,17:18
20000108,08819,09,54,C,15:12
20000108,08819,09,54,C,13:51
20000108,08819,09,54,C,09:25
20000108,08820,15,45,N,99:99
20000108,08821,26,49,N,99:99
20000108,08821,26,49,C,22:17
20000108,08821,26,49,N,99:99
20000108,08822,16,11,N,99:99
