20110101,11138,N12,W84,N,99:99
20110101,11140,N32,E53,N,99:99
20110101,11139,S26,E06,N,99:99
20110102,11138,N17,W91,N,99:99
20110102,11139,S30,W11,N,99:99
20110102,11140,N32,E38,N,99:99
20110102,11141,N35,W38,N,99:99
20110102,11142,S14,E19,N,99:99
20110103,11140,N32,E26,N,99:99
20110103,11141,N34,W52,N,99:99
20110103,11142,S12,E07,N,99:99
20110103,11142,S12,E07,C,23:26
20110103,11142,S12,E07,N,99:99
20110104,11140,N32,E11,N,99:99
20110104,11141,N35,W63,N,99:99
20110104,11141,N35,W63,C,03:19
20110104,11141,N35,W63,N,99:99
20110104,11142,S13,W07,N,99:99
20110104,11142,S13,W07,N,99:99
20110104,11142,S13,W07,C,23:26
20110105,11140,N34,E01,N,99:99
20110105,11141,N35,W77,N,99:99
20110105,11141,N35,W77,N,99:99
20110105,11141,N35,W77,C,03:19
20110105,11142,S12,W19,N,99:99
20110106,11140,N34,W12,N,99:99
20110106,11141,N34,W89,N,99:99
20110106,11142,S13,W32,N,99:99
20110107,11139,S27,W88,N,99:99
20110107,11140,N33,W24,N,99:99
20110107,11142,S14,W46,N,99:99
20110107,11143,S22,E02,N,99:99
20110108,11139,S27,W88,N,99:99
20110108,11140,N33,W37,N,99:99
20110108,11142,S14,W59,N,99:99
20110108,11143,S22,E02,N,99:99
20110109,11139,S29,W91,N,99:99
20110109,11140,N33,W49,N,99:99
20110109,11142,S15,W70,N,99:99
20110109,11143,S23,W12,N,99:99
20110109,11144,S16,W50,N,99:99
20110109,11145,N15,E25,N,99:99
20110110,11140,N32,W63,N,99:99
20110110,11142,S17,W89,N,99:99
20110110,11144,S16,W50,N,99:99
20110110,11145,N15,E25,N,99:99
20110110,11146,N23,E32,N,99:99
20110111,11140,N32,W75,N,99:99
20110111,11145,N16,E13,N,99:99
20110111,11146,N23,E32,N,99:99
20110112,11140,N33,W87,N,99:99
20110112,11146,N23,E19,N,99:99
20110113,11140,N32,W91,N,99:99
20110113,11146,N24,E05,N,99:99
20110114,11145,N16,W39,N,99:99
20110114,11146,N23,W08,N,99:99
20110115,11145,N16,W39,N,99:99
20110115,11147,N24,E66,N,99:99
20110115,11147,N24,E66,C,14:13
20110115,11147,N24,E66,N,99:99
20110116,11147,N24,E66,N,99:99
20110116,11147,N24,E66,N,99:99
20110116,11147,N24,E66,C,14:13
20110117,11147,N27,E51,N,99:99
20110117,11148,S28,W46,N,99:99
20110118,11147,N25,E38,N,99:99
20110118,11148,S28,W46,N,99:99
20110119,11147,N26,E23,N,99:99
20110119,11148,S28,W60,N,99:99
20110120,11147,N25,E08,N,99:99
20110120,11148,S28,W71,N,99:99
20110121,11147,N24,W05,N,99:99
20110121,11147,N24,W05,C,04:12
20110121,11147,N24,W05,N,99:99
20110121,11148,S28,W86,N,99:99
20110121,11149,N18,W19,N,99:99
20110122,11147,N24,W21,N,99:99
20110122,11149,N18,W19,N,99:99
20110122,11149,N18,W19,C,08:01
20110122,11149,N18,W19,N,99:99
20110122,11149,N18,W19,C,20:14
20110122,11149,N18,W19,C,18:57
20110122,11149,N18,W19,C,14:24
20110122,11149,N18,W19,C,12:05
20110122,11149,N18,W19,C,04:12
20110123,11147,N24,W36,N,99:99
20110123,11149,N18,W33,N,99:99
20110123,11149,N18,W33,N,99:99
20110123,11149,N18,W33,C,08:01
20110124,11147,N24,W50,N,99:99
20110124,11149,N17,W46,N,99:99
20110124,11149,N17,W46,C,05:56
20110124,11149,N17,W46,N,99:99
20110125,11147,N24,W63,N,99:99
20110125,11149,N16,W59,N,99:99
20110125,11149,N16,W59,N,99:99
20110125,11149,N16,W59,C,05:56
20110126,11147,N24,W79,N,99:99
20110126,11149,N17,W76,N,99:99
20110127,11147,N24,W91,N,99:99
20110127,11149,N17,W91,N,99:99
20110128,11150,S22,E48,N,99:99
20110128,11151,N09,W74,N,99:99
