20180105,12693,N18,W52,N,99:99
20180106,12693,N19,W64,N,99:99
20180107,12693,N19,W77,N,99:99
20180108,12693,N20,W90,N,99:99
20180109,12694,S32,W15,N,99:99
20180109,12693,N20,W91,N,99:99
20180110,12694,S32,W29,N,99:99
20180111,12694,S32,W42,N,99:99
20180112,12695,S08,W71,N,99:99
20180112,12694,S32,W56,N,99:99
20180113,12694,S32,W70,N,99:99
20180113,12695,S09,W85,N,99:99
20180114,12694,S32,W84,N,99:99
20180114,12695,S09,W91,N,99:99
20180115,12694,S32,W91,N,99:99
20180116,12696,S11,E13,N,99:99
20180117,12696,S13,W00,N,99:99
20180118,12696,S13,W14,N,99:99
20180119,12696,S12,W27,N,99:99
20180120,12696,S12,W41,N,99:99
20180121,12696,S12,W54,N,99:99
20180122,12696,S12,W67,N,99:99
20180123,12696,S12,W81,N,99:99
20180124,12696,S12,W91,N,99:99
20180125,12696,S12,W91,N,99:99
20180131,12697,S10,E36,N,99:99
20180201,12697,S09,E21,N,99:99
20180202,12697,S09,E07,N,99:99
20180203,12698,S03,E65,N,99:99
20180203,12697,S09,W07,N,99:99
20180204,12697,S09,W21,N,99:99
20180204,12698,S03,E50,N,99:99
20180205,12699,S04,E62,N,99:99
20180205,12697,S09,W35,N,99:99
20180205,12698,S03,E35,N,99:99
20180206,12699,S06,E52,N,99:99
20180206,12699,S06,E52,C,18:45
20180206,12699,S06,E52,N,99:99
20180206,12697,S09,W49,N,99:99
20180206,12698,S03,E20,N,99:99
20180207,12699,S08,E39,N,99:99
20180207,12699,S08,E39,C,14:35
20180207,12699,S08,E39,C,13:31
20180207,12699,S08,E39,N,99:99
20180207,12699,S08,E39,C,18:45
20180207,12697,S09,W63,N,99:99
20180207,12698,S03,E05,N,99:99
20180208,12699,S08,E27,N,99:99
20180208,12699,S08,E27,N,99:99
20180208,12699,S08,E27,C,14:35
20180208,12699,S08,E27,C,13:31
20180208,12697,S09,W77,N,99:99
20180208,12698,S03,W10,N,99:99
20180209,12699,S06,E13,N,99:99
20180209,12697,S09,W91,N,99:99
20180209,12698,S03,W25,N,99:99
20180210,12699,S07,E01,N,99:99
20180210,12699,S07,E01,C,13:02
20180210,12699,S07,E01,N,99:99
20180210,12698,S03,W40,N,99:99
20180211,12699,S07,W11,N,99:99
20180211,12699,S07,W11,N,99:99
20180211,12699,S07,W11,C,13:02
20180211,12698,S03,W55,N,99:99
20180212,12699,S07,W26,N,99:99
20180212,12699,S07,W26,C,00:15
20180212,12699,S07,W26,N,99:99
20180212,12699,S07,W26,C,23:55
20180212,12698,S03,W70,N,99:99
20180213,12699,S07,W41,N,99:99
20180213,12699,S07,W41,N,99:99
20180213,12699,S07,W41,C,00:15
20180213,12698,S03,W85,N,99:99
20180214,12699,S07,W56,N,99:99
20180214,12698,S03,W91,N,99:99
20180215,12699,S08,W66,N,99:99
20180216,12699,S08,W80,N,99:99
20180217,12699,S08,W91,N,99:99
20180227,12700,N06,W25,N,99:99
20180228,12700,N06,W40,N,99:99
20180301,12700,N07,W53,N,99:99
